,cardId,Name,Gender,Age,Chapeau,Début texte,cardFilter1Tri,cardFilter3Tri,cardFilter4Tri,cardFilter5Tri,cardFilter6Tri,cardSection5Text,cardSection6Text
9,47,Marco Abele,male,49 ans,"Fondateur et CEO de Tend, Zoug","De responsable numérique au CS à entrepreneur de start-up: en octobre 2017, Marco Abele a troqué son costume sur mesure contre un jean et un t-shirt, et fondé la société Tend. La plateforme d’échange ",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
4,12,Pedro Bados,male,38 ans,"CEO et cofondateur de Nexthink, Lausanne","«2017 a été une année incroyable. Nous avons gagné plus de 200 nouveaux clients», explique Pedro Bados. Aujourd’hui, plus de 850 clients utilisent les produits de l’entreprise lausannoise de logiciels",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
92,91,Nick Beglinger,male,48 ans,"Cofondateur et CEO de Cleantech21, Zurich","Jusqu’en 2016, Nick Beglinger a été président de l’association professionnelle Swisscleantech, consacrée à l’économie durable et issue en 2009 de la fondation à but non lucratif Cleantech21. Cette der",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
51,46,Marc Bernegger,male,39 ans,"Entrepreneur en fintech et investisseur, Zurich","Spécialiste des fintech, Marc Bernegger se concentre actuellement sur les monnaies électroniques. Il constate, comme instigateur de la conférence Krypto Finance à Saint-Moritz ou en tant qu’actionnair",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
93,92,Sonja Betschart,female,48 ans,"Cofondatrice de WeRobotics, Genève","Passion, inspiration, innovation, ce sont les outils avec lesquels la cofondatrice de WeRobotics, Sonja Betschart, pense l’avenir. Pour la spécialiste du marketing et de la gestion, les robots ont leu",f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
71,68,Lucas Betschart,male,26 ans,"Président de la Bitcoin Association Switzerland, Zurich/Zoug","Entre économistes, la blockchain et les monnaies cryptographiques figurent parmi les sujets les plus controversés. Le bitcoin, la monnaie numérique la plus connue, est un peu discrédité par la violent",f-moins-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
23,13,Jurgi Camblong,unknown,40 ans,"Cofondateur et CEO de Sophia Genetics, Genève","Jurgi Camblong parle d’une «révolution» de la médecine basée sur les données, en citant son entreprise: Sophia Genetics développe des logiciels et des plateformes de données qui utilisent l’analyse du",f-plus-40,,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
64,61,Nicoletta Casanova,female,47 ans,"Cofondatrice et CEO FEMTOprint, Muzzano (TI)","Son premier emploi, elle le trouva dans une start-up qui testait des matériaux. Puis Nicoletta Casanova préféra fonder sa propre entreprise. Deux ans après son diplôme de l’EPFZ est née Smartec, pionn",f-plus-40,f-femme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
67,64,Filippo Catalano,male,46 ans,"CIO du groupe Nestlé, Vevey","Sa description du poste laisse songeur: il doit numériser l’entreprise suisse qui a la plus grande valeur. Chief information chez Nestlé depuis janvier, Filippo Catalano a une tâche colossale. Comme d",f-plus-40,f-homme,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
2,30,Caecilia Charbonnier,unknown,37 ans,"Cofondatrice, présidente et directrice de recherche chez Artanim, Meyrin (GE) et cofondatrice et directrice technique de Dreamscape Immersive","A la fin des années 1990, Caecilia Charbonnier passait pour l’espoir de la relève du tennis féminin suisse. Mais une blessure sportive a mis un frein à sa carrière. Malgré une opération, elle a gardé ",f-moins-40,,(Les précurseurs / Les créatifs / …),(secteur d’activité),(Indépendant / Chercheur / PME / Grande entreprise),(liens Le Temps),(profil linkedin)
